[NationID],[Name],[Region],[Description],[Type]
Nation01,Nadar,Planet Nadar,Main Capitalist Nation. Deal with raw minerals,Country
Nation02,Rivelia,Planet Nadar,Land of Refuge. Cosmopolitan Nation,Country
Nation03,Alasban,Planet Nadar,Economical Nation. Fair trade but currupt,Country
Nation04,Pillas,Planet Nadar,Well Springs of Nadar. Exuberant eco system,Country
Nation05,Galvadia,Planet Nadar,Financial Nation. Very affluential,Country
Nation06,Birbridge,Planet Nadar,Wealthiest Nation. Strong military power with weak government,Country
Nation07,Flearkadon,Middle Nadar,Kings Arc events. Lucious greens but technologicallly advanced,Country
Nation08,Gheruddia,Middle Nadar,Humanoid Nation. Rich in previuos metal (Amoniumite),Country
Nation09,Edoma,Middle Nadar,Peaceful Nation. Known for its military advancement,Country
Nation10,Lanis,Middle Nadar,Corrupt Nation. Trade and Aunctions driven,Country
Nation11,Kimo,Outer Nadar,Research Nation. Little is known of it,Planet
Nation12,Algla,Outer Nadar,World of Vale Rune (Planetary governance),Planet
Nation13,Ramva,Planet Gignion,,Country
Nation14,Dhregher,Planet Gignion,,Country
Nation15,Opullio,Planet Gignion,Land covered with Water,Country
Nation16,Manshutta,Planet Gignion,,Planet
Nation17,Iyunashka,Middle Nadar,Unpopulous land with rough terrain,Country
Nation18,Lushan,Middle Nadar,Land of the orbit stone and human enhancement capital,Country
Nation19,Dismura,Middle Nadar,Land covered with Ice,Country
Nation20,Union Faderal Stade,Middle Nadar,Governing body of middle Nadar. ,Country
Nation21,Simirio,Outer Nadar,Known for its driven workforce. Advancing Space research,Country
Nation22,Nopal,Outer Nadar,Land of the Aeon breeders,Country
Nation23,Eghron,Outer Nadar,Land of the SeekStone harvesters,Planet
Nation24,Sharazzan,Outer Nadar,Land of the highest nobles. Advanced technology,Planet